tournament_id,total_sg:ott,player_url,measured_rounds,average,rounds,player_id,rank_this_week,player_name,rank_last_week,time_period,tournament,season
t007,-2.464,https://www.pgatour.com/players/player.37275.sam-ryder.html,4,-.616,4,37275,68,Sam Ryder,,Tournament Only,The Genesis Invitational,2019
t007,-2.534,https://www.pgatour.com/players/player.35139.richard-lee.html,4,-.634,4,35139,69,Richard Lee,,Tournament Only,The Genesis Invitational,2019
t007,-2.581,https://www.pgatour.com/players/player.31560.brian-stuard.html,4,-.645,4,31560,70,Brian Stuard,52,Tournament Only,The Genesis Invitational,2019
t007,-2.636,https://www.pgatour.com/players/player.21731.freddie-jacobson.html,4,-.659,4,21731,71,Freddie Jacobson,,Tournament Only,The Genesis Invitational,2019
t007,-2.833,https://www.pgatour.com/players/player.24361.pat-perez.html,4,-.708,4,24361,72,Pat Perez,,Tournament Only,The Genesis Invitational,2019
t007,-3.102,https://www.pgatour.com/players/player.25396.kevin-na.html,4,-.776,4,25396,73,Kevin Na,,Tournament Only,The Genesis Invitational,2019
t007,-3.397,https://www.pgatour.com/players/player.49481.tae-hee-lee.html,4,-.849,4,49481,74,Tae Hee Lee,,Tournament Only,The Genesis Invitational,2019
t007,-4.127,https://www.pgatour.com/players/player.27556.ted-potter--jr-.html,4,-1.032,4,27556,75,"Ted Potter, Jr.",,Tournament Only,The Genesis Invitational,2019
t007,-5.711,https://www.pgatour.com/players/player.34261.scott-langley.html,4,-1.428,4,34261,76,Scott Langley,45,Tournament Only,The Genesis Invitational,2019
t005,2.766,https://www.pgatour.com/players/player.30925.dustin-johnson.html,2,1.383,4,30925,1,Dustin Johnson,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,2.613,https://www.pgatour.com/players/player.35617.martin-trainer.html,2,1.307,4,35617,2,Martin Trainer,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,2.595,https://www.pgatour.com/players/player.52372.cameron-champ.html,2,1.298,4,52372,3,Cameron Champ,T53,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.743,https://www.pgatour.com/players/player.28089.jason-day.html,2,.872,4,28089,4,Jason Day,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.713,https://www.pgatour.com/players/player.33399.adam-hadwin.html,2,.857,4,33399,5,Adam Hadwin,19,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.680,https://www.pgatour.com/players/player.25493.nick-taylor.html,2,.840,4,25493,6,Nick Taylor,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.667,https://www.pgatour.com/players/player.27974.sung-kang.html,2,.834,4,27974,7,Sung Kang,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.616,https://www.pgatour.com/players/player.23788.d-j--trahan.html,2,.808,4,23788,8,D.J. Trahan,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.608,https://www.pgatour.com/players/player.29974.branden-grace.html,2,.804,4,29974,9,Branden Grace,29,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.558,https://www.pgatour.com/players/player.30786.brady-schnell.html,2,.779,4,30786,10,Brady Schnell,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.519,https://www.pgatour.com/players/player.27214.kevin-streelman.html,2,.760,4,27214,11,Kevin Streelman,24,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.499,https://www.pgatour.com/players/player.25818.scott-piercy.html,2,.750,4,25818,12,Scott Piercy,33,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.485,https://www.pgatour.com/players/player.45609.tyler-duncan.html,2,.743,4,45609,13,Tyler Duncan,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.447,https://www.pgatour.com/players/player.37455.si-woo-kim.html,2,.724,4,37455,14,Si Woo Kim,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.381,https://www.pgatour.com/players/player.33122.russell-knox.html,2,.691,4,33122,15,Russell Knox,26,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.330,https://www.pgatour.com/players/player.26499.rafa-cabrera-bello.html,2,.665,4,26499,16,Rafa Cabrera Bello,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.296,https://www.pgatour.com/players/player.25900.lucas-glover.html,2,.648,4,25900,17,Lucas Glover,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.197,https://www.pgatour.com/players/player.35421.brandon-harkins.html,2,.599,4,35421,18,Brandon Harkins,16,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.187,https://www.pgatour.com/players/player.29478.kevin-kisner.html,2,.594,4,29478,19,Kevin Kisner,8,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.142,https://www.pgatour.com/players/player.26476.chez-reavie.html,2,.571,4,26476,20,Chez Reavie,22,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,1.047,https://www.pgatour.com/players/player.23108.matt-kuchar.html,2,.524,4,23108,21,Matt Kuchar,20,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.869,https://www.pgatour.com/players/player.50526.tom-lovelady.html,2,.435,4,50526,22,Tom Lovelady,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.850,https://www.pgatour.com/players/player.28307.matt-every.html,2,.425,4,28307,23,Matt Every,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.823,https://www.pgatour.com/players/player.30946.alex-prugh.html,2,.412,4,30946,24,Alex Prugh,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.771,https://www.pgatour.com/players/player.32150.michael-thompson.html,2,.386,4,32150,25,Michael Thompson,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.752,https://www.pgatour.com/players/player.01810.phil-mickelson.html,2,.376,4,01810,26,Phil Mickelson,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.736,https://www.pgatour.com/players/player.39327.ben-silverman.html,2,.368,4,39327,27,Ben Silverman,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.697,https://www.pgatour.com/players/player.46601.trey-mullinax.html,2,.349,4,46601,28,Trey Mullinax,4,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.691,https://www.pgatour.com/players/player.10809.jim-furyk.html,2,.346,4,10809,29,Jim Furyk,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.583,https://www.pgatour.com/players/player.26300.matt-jones.html,2,.292,4,26300,30,Matt Jones,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.578,https://www.pgatour.com/players/player.19846.brian-gay.html,2,.289,4,19846,31,Brian Gay,68,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.481,https://www.pgatour.com/players/player.26951.johnson-wagner.html,2,.241,4,26951,32,Johnson Wagner,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.355,https://www.pgatour.com/players/player.25364.paul-casey.html,2,.178,4,25364,33,Paul Casey,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
t005,.277,https://www.pgatour.com/players/player.25572.graeme-mcdowell.html,2,.139,4,25572,34,Graeme McDowell,,Tournament Only,AT&T Pebble Beach Pro-Am,2019
